bookID,title,authors,publication_date,publisher
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,2012-09-25,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,2004-10-21,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,2003-09-05,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,2002-10-01,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,2003-11-05,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,2004-11-15,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,2005-07-28,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),Gary Paulsen,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books
51,Hatchet: A Guide for Using Hatchet in the Classroom,Donna Ickes/Edward Sciranko/Keith Vasconcelles,1994-08-28,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,2001-01-23,Delacorte Press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,2003-06-10,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,2005-11-01,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,2005-11-01,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,2006-08-17,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,2003-04-14,Firebird
61,The Changeling,Zilpha Keatley Snyder,2004-06-08,iUniverse
63,The Changeling,Kate Horsley,2005-04-12,Shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,1990-08-28,Ivy Books
67,The Known World,Edward P. Jones,2006-08-29,Amistad
68,The Known World,Edward P. Jones/Kevin R. Free,2004-06-15,HarperAudio
69,The Known World,Edward P. Jones,2004-06-15,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,2006-05-15,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,2005-12-14,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,1982-06-01,Farrar  Straus and Giroux
75,Uncommon Carriers,John McPhee,2006-05-16,Farrar Straus Giroux
76,Heirs of General Practice,John McPhee,1986-04-01,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,1990-09-01,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,1999-01-06,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,1991-04-01,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,John McPhee,1994-04-01,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,1994-04-01,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,1987-11-01,Farrar  Straus and Giroux
85,The Heidi Chronicles,Wendy Wasserstein,2002-03-01,Dramatists Play Service
406,Cosmopolis,Don DeLillo,2004-04-06,Scribner
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,1991-07-02,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,2006-03-29,Routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,2006-03-14,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,2003-09-01,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,1997-01-28,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,2002-11-15,Kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,2004-11-15,ASCD
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,1994-01-12,Grove Press
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,2003-04-28,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,2003-10-16,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,2004-05-10,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,2004-08-19,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,1987-06-15,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,1987-07-01,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,1987-07-15,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,2004-07-01,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,1984-04-16,Putnam
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,2006-08-29,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,1987-08-15,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,2002-06-12,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),Bryce Courtenay,1996-09-29,Ballantine Books
123,The Power of One (The Power of One  #1),Bryce Courtenay,2005-09-13,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,2004-11-01,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,2006-05-19,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,2000-02-07,Heinemann Drama
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,2005-05-03,William Morrow Paperbacks
133,eBay for Dummies,Marsha Collier,2006-10-30,Wiley
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,2006-01-24,McGraw-Hill
137,Starting an eBay Business for Dummies,Marsha Collier,2004-09-17,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,2006-06-06,Wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,2004-05-31,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,2005-04-25,Wiley
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,2006-07-29,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,2005-05-03,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,2005-05-03,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,2007-01-01,O'Reilly Media
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,2004-05-31,Penguin Classics
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,2002-11-05,Signet
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,2003-01-30,Penguin Books
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,1965-11-26,Cliffs Notes
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,2003-07-01,Barnes & Noble Classics
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,2004-11-23,Dover Publications
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,2004-08-26,Barnes & Noble
159,Dinner with Anna Karenina,Gloria Goldreich,2006-01-28,Mira Books
160,Tolstoy: Anna Karenina,Anthony Thorlby,1987-11-26,Cambridge University Press
162,Untouchable,Mulk Raj Anand/E.M. Forster,1990-07-03,Penguin Books
163,The Untouchable,John Banville,1998-06-30,Vintage
164,The Untouchables,Eliot Ness/Oscar Fraley,1996-02-01,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,2005-09-27,Scribner
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,1995-01-28,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,2000-12-20,Rowman & Littlefield Publishers
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,2003-09-22,Pearson
177,A Wrinkle in Time: A Guide for Using A Wrinkle in Time in the Classroom,John Carratello/Patty Carratello/Theresa Wright,1991-09-28,Teacher Created Resources
180,Wrinkles in Time,George Smoot/Keay Davidson,1994-10-01,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,2002-05-01,EMC/Paradigm Publishing
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,2002-01-01,Teaching Resources
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,1984-06-01,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,1994-06-01,Little  Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,2006-01-03,William Morrow
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,2005-11-01,Atria Books
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,2006-03-07,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,2004-08-10,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,2005-03-08,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,2004-08-10,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,1990-10-03,Vintage
231,I am Charlotte Simmons,Tom Wolfe,2005-08-30,Picador USA
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,2001-10-01,Sterling
244,The Puffin Book of Nonsense Verse,Quentin Blake,1996-10-03,Puffin
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,1964-02-01,New Directions Publishing
247,Quiet Days in Clichy,Henry Miller,1994-01-13,Grove Press
249,Tropic of Cancer,Henry Miller/Jiří Níl,1994-01-06,Grove Press
250,Tropic of Capricorn,Henry Miller,1994-01-13,Grove Press
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,1994-01-13,Grove Press
253,The Air-Conditioned Nightmare,Henry Miller,1970-01-17,New Directions
264,The Portrait of a Lady,Henry James/Patricia Crick,2003-09-30,Penguin Classics
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,2004-01-16,Barnes  Noble Classics
277,Writing,Marguerite Duras,1999-05-06,Brookline Books
278,The War,Marguerite Duras/Barbara Bray,1994-08-01,The New Press
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,1986-03-12,Pantheon
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,1999-07-01,One World (UK)
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,1998-04-01,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,1998-01-01,Penguin Books
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,1995-02-21,Knopf
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,2003-03-03,Citadel
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,2011-06-14,Knopf
295,Treasure Island,Robert Louis Stevenson,2001-09-15,Kingfisher
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,2004-10-01,Sterling Children's Books
297,Treasure Island,Robert Louis Stevenson,2005-06-01,Simon & Schuster
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,2003-07-01,Atheneum Books for Young Readers
299,Treasure Island,Robert Louis Stevenson/Milo Winter,2002-09-03,Gramercy Books
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,2006-01-31,Abdo Publishing Company
313,100 Years of Lynchings,Ralph Ginzburg,1996-11-22,Black Classic Press
324,Cien años de soledad,Gabriel García Márquez,1990-01-01,French & European
330,On Beyond Zebra!,Dr. Seuss,1955-09-12,Random House Books for Young Readers
332,The Wedding Clause,Debbie Raleigh,2005-06-07,Zebra
333,The Zebra Wall,Kevin Henkes,2005-02-15,Greenwillow Books
337,El perfume: Historia de un asesino,Patrick Süskind,2002-06-01,Booket
348,The Door Into Summer,Robert A. Heinlein,1997-06-17,Del Rey
350,Stranger in a Strange Land,Robert A. Heinlein,1991-10-01,Ace
354,To Sail Beyond the Sunset,Robert A. Heinlein,1988-06-01,Ace Books
355,Job: A Comedy of Justice,Robert A. Heinlein,1985-10-12,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,2006-08-08,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,1991-02-15,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,2005-04-26,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,2005-12-27,Del Rey
367,Douglas Adams's Starship Titanic,Terry Jones,1998-10-27,Ballantine Books
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,2003-07-01,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,2011-01-12,Samuel French  Inc.
385,On Bullshit,Harry G. Frankfurt,2005-01-30,Princeton University Press
386,Another Bullshit Night in Suck City,Nick Flynn,2005-09-12,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,1993-06-12,Simon & Schuster
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,1998-02-02,HMH Books for Young Readers
399,Underworld,Don DeLillo,1998-07-09,Scribner
400,Libra,Don DeLillo,1991-05-01,Penguin
403,Americana,Don DeLillo,1989-07-06,Penguin Books
404,Running Dog,Don DeLillo,1989-07-17,Vintage Contemporaries
407,Great Jones Street,Don DeLillo,1994-01-01,Penguin Books
408,The Names,Don DeLillo,1989-07-17,Vintage
409,Against the Day,Thomas Pynchon,2006-11-21,Penguin Press
410,V.,Thomas Pynchon,2005-07-05,Harper Perennial Modern Classics
411,The Crying of Lot 49,Thomas Pynchon,1999-04-01,Harper Perennial
412,Gravity's Rainbow,Thomas Pynchon,2000-01-01,Penguin Books
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,2004-01-03,Picador USA
414,Vineland,Thomas Pynchon,1997-09-01,Penguin Classics
415,Gravity's Rainbow,Thomas Pynchon,2006-10-31,Penguin Books
416,Slow Learner: Early Stories,Thomas Pynchon,1985-04-30,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,1996-08-29,Penguin Classics
420,The Year of Magical Thinking,Joan Didion,2005-10-04,Knopf Publishing Group
421,The White Album,Joan Didion,1990-10-01,Farrar Straus Giroux
422,A Book of Common Prayer,Joan Didion,1995-04-11,Vintage International
423,Where I Was From,Joan Didion,2004-09-14,Vintage
424,Slouching Towards Bethlehem,Joan Didion,1990-10-01,Farrar Straus Giroux
425,Democracy,Joan Didion,1995-04-25,Vintage International
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,2006-10-17,Everyman's Library
428,Play It As It Lays,Joan Didion/David Thomson,2005-11-15,Farrar  Straus and Giroux
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,2006-03-28,Penguin Classics
432,City of Glass (The New York Trilogy  #1),Paul Auster,1987-04-07,Penguin Books
434,Ghosts (The New York Trilogy  #2),Paul Auster,1987-07-07,Penguin Books
435,The Locked Room (The New York Trilogy  #3),Paul Auster,1986-11-01,Sun and Moon Press
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,1995-01-01,Sky Books (NY)
446,The Brooklyn Follies,Paul Auster,2006-10-17,Picador
447,Moon Palace,Paul Auster,1990-04-01,Penguin Books
453,The Music of Chance,Paul Auster,1991-12-01,Penguin Books
454,Travels in the Scriptorium,Paul Auster,2007-01-23,Henry Holt & Company
456,Leviathan,Paul Auster,1993-09-01,Penguin Books
463,The Red Notebook: True Stories,Paul Auster,2002-06-17,New Directions
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,2002-11-07,Actes Sud
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,2005-12-27,Penguin Books Ltd. (London)
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,2006-02-01,Business Plus
477,Collapse of Complex Societies,Joseph A. Tainter,1990-03-29,Cambridge University Press
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,2001-08-07,Simon  Schuster
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,2002-01-29,Ballantine Books
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,1998-09-17,W. W. Norton  Company
493,My Inventions,Nikola Tesla,2006-05-17,Filiquarian Publishing  LLC.
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,2001-02-01,Citadel
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,1994-10-01,Lerner Publications
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,2000-12-01,Adventures Unlimited Press
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,2006-06-27,Harlequin Blaze
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,2004-10-11,Pragmatic Bookshelf
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,2000-06-13,Cliffs Notes
524,Lord of the Flies,William Golding,2005-10-11,Listening Library (Audio)
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,2006-09-12,Random House
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,1989-01-01,HarperCollins Publishers
537,The Lovely Bones,Alice Sebold,2003-06-01,Picador
538,The Lovely Bones,Alice Sebold,2004-04-01,Large Print Press
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,1990-05-13,Ballantine Books
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,2005-02-17,Peachpit Press
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,2006-08-01,Peachpit Press
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,2005-05-15,Taschen
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,2006-06-13,Scribner
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,2004-07-02,Scribner
619,Vice (V  #8),Jane Feather,1996-05-02,Bantam
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,2006-04-25,HarperTorch
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,2005-04-01,Walker & Company
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,1990-11-19,William Morrow Paperbacks
643,Motorcycle Basics Techbook,John Harold Haynes,2002-07-05,Haynes Manuals N. America  Inc.
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,2004-09-01,Rockport Publishers
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,2003-04-01,Signet Classics
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,1998-06-25,Oxford University Press
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,2006-09-08,Dover Publications
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,1999-08-01,Plume
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,1963-12-01,Signet Book
664,The Fountainhead,Ayn Rand,2005-04-26,Dutton
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,1964-11-01,Signet
667,Anthem,Ayn Rand,1999-12-01,NAL
668,We the Living,Ayn Rand/Leonard Peikoff,1996-01-01,Signet
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,1986-07-15,Signet
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,1997-02-01,NAL
672,Sailing for Dummies,J.J. Isler/Peter Isler,2006-06-01,For Dummies
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,2006-07-25,Delacorte Press
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,2002-09-17,Random House Trade Paperbacks
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,2004-04-01,Lyons Press
681,Natural Cures They Don't Want You to Know about,Kevin Trudeau,2004-01-01,Alliance Publishing
685,The Natural,Bernard Malamud/Kevin Baker,2003-07-07,Farrar Straus Giroux
698,Digging to America,Anne Tyler,2006-05-02,Alfred A. Knopf
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,2004-01-21,Bedford Books
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,2004-10-07,Oxford University Press  USA
703,The Plot Against America,Philip Roth,2005-09-27,Vintage International
707,Naked Pictures of Famous People,Jon   Stewart,1999-09-22,Dey Street Books
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,2008-05-13,Harper Perennial Modern Classics
762,Crónica de una muerte anunciada,Gabriel García Márquez,2003-10-14,Vintage Espanol
763,Cien años de soledad,Gabriel García Márquez,2006-02-07,Plaza y Janes
764,Del amor y otros demonios,Gabriel García Márquez,2006-02-07,Plaza y Janes
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,2004-10-12,Vintage
766,Memoria de mis putas tristes,Gabriel García Márquez,2004-10-19,Vintage Espanol
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,2004-09-02,Vintage Books USA
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,2005-05-15,Wisdom Publications
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,2006-04-01,Rough Guides
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,2004-09-01,Lonely Planet
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,2006-05-01,Geoplaneta
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,2001-09-01,Lonely Planet
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,2006-04-04,Mariner Books
816,Cryptonomicon,Neal Stephenson,2002-11-01,Avon
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,2001-03-31,Payot
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,2005-06-14,William Morrow Paperbacks
823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,2004-09-21,HarperCollins Perennial
824,The Cobweb,Neal Stephenson/J. Frederick George,2005-05-31,Spectra Books
826,The Big U,Neal Stephenson,2001-02-06,William Morrow Paperbacks
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,2000-05-02,Spectra
828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,2005-05-31,Spectra
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,2006-03-28,HarperTorch
830,Snow Crash,Neal Stephenson/Guy Abadia,2000-08-02,Bantam Books
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,2005-06-01,Two Plus Two Publishing LLC
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,2004-12-01,Two Plus Two Publishing LLC
840,The Design of Everyday Things,Donald A. Norman,2002-09-19,Basic Books
841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,2005-05-11,Basic Books
842,The Psychology of Everyday Things,Donald A. Norman,1988-06-13,Basic Books
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,2006-04-30,Ignatius Press
864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,2006-05-02,HarperOne
865,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,1993-05-01,HarperCollins
